unidades de recursos,volumen de corta,acuerdos de venta,ingresos,ganancias,sanciones,trabajo comunitario,eficiencia de aprovechamiento,regeneracion artificial,esfuerzo de reforestacion,regenercion natural,productividad
0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,0,0,0,0,0,0,0,0,0
0,0,0,7,0,-3,0,0,0,0,0,0
0,0,0,0,3,0,-3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,5,0,0,7,-5,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
